Hour,Demand (kW),Wind (kW),Solar (kW)
0,1477736.597,0.368354839,0
1,1420783.693,0.354419355,0
2,1367793.344,0.35316129,0
3,1284213.063,0.358387097,0
4,1273559.291,0.370290323,0
5,1305012.947,0.374032258,0.019935484
6,1328770.646,0.357967742,0.117645161
7,1306528.871,0.296322581,0.378516129
8,1395640.511,0.262290323,0.555225806
9,1484734.524,0.291870968,0.641709677
10,1581577.376,0.363129032,0.684516129
11,1639940.441,0.406645161,0.692322581
12,1686891.773,0.430903226,0.663096774
13,1641491.618,0.442,0.599677419
14,1592463.823,0.444193548,0.497806452
15,1566347.63,0.442483871,0.340193548
16,1548015.528,0.454709677,0.134903226
17,1598770.772,0.484903226,0.024483871
18,1791416.479,0.497935484,0.000322581
19,1753694.655,0.494096774,0
20,1712345.191,0.485483871,0
21,1663246.886,0.468354839,0
22,1625701.333,0.452064516,0
23,1572675.73,0.440258065,0
24,4465399.77,0.156580645,0
25,4385153.522,0.16983871,0
26,4316395.419,0.189806452,0
27,4224604.094,0.213225806,0
28,4202140.154,0.225516129,0
29,4144756.345,0.225709677,0.057258065
30,3983409.92,0.189387097,0.299709677
31,4217556.36,0.148870968,0.489870968
32,4299852.031,0.163935484,0.587709677
33,4534738.541,0.176225806,0.64183871
34,4652523.367,0.173258065,0.664032258
35,4840318.718,0.169354839,0.672387097
36,4969648.619,0.174225806,0.663483871
37,5087319.587,0.181322581,0.638741935
38,5100344.801,0.18583871,0.581354839
39,5043074.847,0.191387097,0.489129032
40,4939396.876,0.200258065,0.329935484
41,4753992.516,0.225419355,0.098709677
42,4673404.698,0.239,0.000354839
43,4733122.572,0.215903226,0
44,4652819.394,0.187354839,0
45,4549084.493,0.162483871,0
46,4539361.127,0.150419355,0
47,4517011.043,0.146967742,0
